134364,847433,763774,255069,495435,449491,651592,788723,93859,28347
835765,432767,762280,2106,445387,721540,228762,945270,901427,30589
25445,541412,939149,381204,216599,422116,29040,221691,437887,495812
233084,230866,218781,459603,289781,21489,837577,556454,642294,185906
992543,859946,120889,332695,721484,711191,936440,422106,830035,670305
303368,587580,882479,846197,505283,589002,34525,242739,797404,414313
173007,548798,703040,674485,374703,438961,508426,778442,520938,393255
489693,29574,43487,703382,983187,593183,393599,170349,502238,982076
770523,539617,860289,232176,513771,952467,577794,459131,269279,547996
957116,5709,783655,820485,886179,740503,809139,518678,561357,426090
56123,870010,569999,199839,504720,484925,356789,346077,538478,623489
612452,458146,27974,229605,177211,584460,861008,798438,797097,816437
255294,841744,673113,83234,16690,14559,755586,249559,109488,624802
344422,69515,159625,527380,168144,272914,711589,454701,322001,473771
23634,386557,420918,188039,108761,899818,510115,209090,605648,817039
20818,17864,146461,718835,160227,704605,678175,544702,220599,975594
797810,516599,223195,648506,394898,575845,321245,630947,58785,298605
967903,875534,306386,858514,310363,939288,743842,416172,252358,8480
878717,37916,819414,962201,570280,171517,867781,973775,704023,508873
377968,346930,205761,674153,432950,194118,104424,665957,296072,499799
325345,871621,899678,18092,200853,327740,987049,782700,339095,213029
674455,837701,932187,343849,882393,687110,484498,985508,234640,725465
84680,169694,910987,212968,759116,600208,841132,368107,340285,291215
867419,603982,954307,887265,135345,551170,104274,39137,73193,866168
788116,828505,340897,615186,781903,378039,570781,223714,81743,266723
890768,564446,925067,457769,277182,787014,827768,12381,670411,91683
115102,885060,40023,239633,988158,421013,115558,167383,241420,744006
102834,910764,378277,970264,909222,294023,253410,477010,100129,652050
39620,10506,982583,295549,596570,449844,313280,62964,913392,969813
969796,111362,215193,617806,979952,542913,688189,661834,259085,541602
307321,246381,81368,280786,983376,447902,652010,643466,940734,390478
306784,327241,316735,847134,893500,302809,334333,544225,578985,595962
245098,20374,243759,72327,551204,70916,75129,635382,290821,792184
493261,862648,154179,501429,794983,77106,949227,173242,776208,984895
821550,319784,106877,514358,919356,293489,893758,141680,910481,31759
316068,903088,803856,907153,840718,746184,689595,178154,432638,157896
714824,667778,252586,64414,963385,808252,549269,541377,851292,453309
395710,338669,257969,24408,646438,416683,570603,62321,354943,138284
125129,259112,828934,397797,401082,612444,233529,7477,528701,500899
648839,438316,686513,731421,238374,495072,478826,225062,412246,560407
906939,917706,275225,646415,48197,71551,511691,877424,159467,766027
883009,311802,692556,848991,371614,701282,736418,594577,856277,896604
960078,571232,176275,250595,217618,569517,757750,52133,681636,717153
347981,515055,164798,729896,40708,981221,807943,628448,267526,912862
959438,139126,775757,841930,659717,700407,445058,924307,971207,382353
802711,432921,164754,325467,126330,908884,959424,119186,600679,408224
118090,295475,248216,749576,4008,189838,438773,21034,627526,605627
835332,206605,284781,542339,273225,585738,250882,683527,791090,808654
973616,545377,490809,855697,769067,570544,383256,284047,108139,807549
118071,747265,545287,964945,761065,973519,136594,500371,572578,311251
